Designator,Mid X,Mid Y,Layer,Rotation
D1,115.675002mm,23.125005mm,Top,270.0
D2,79.175002mm,68.875005mm,Top,180.0
J2,55.425002mm,60.725005mm,Top,0.0
J3,57.320002mm,70.055005mm,Top,270.0
Q1,112.425002mm,23.125005mm,Top,90.0
Q2,79.425002mm,72.625005mm,Top,90.0
Q3,104.925002mm,23.125005mm,Top,90.0
Q4,35.950002mm,37.650005mm,Top,90.0
Q5,43.950002mm,37.500005mm,Top,90.0
Q6,51.925002mm,37.500005mm,Top,90.0
Q7,60.450002mm,37.500005mm,Top,90.0
Q8,68.900002mm,37.500005mm,Top,90.0
Q9,76.925002mm,37.500005mm,Top,90.0
U5,108.630001mm,23.064805mm,Top,0.0
Z1,74.751002mm,9.451505mm,Top,0.0
R147,33.725007000000005mm,61.925006999999994mm,Bottom,180.0
R146,23.825007mm,92.575007mm,Bottom,0.0
R141,48.575007mm,90.025007mm,Bottom,90.0
U102,29.110607mm,82.740507mm,Bottom,180.0
R109,44.575007mm,60.525006999999995mm,Bottom,90.0
R108,43.350407000000004mm,95.364407mm,Bottom,270.0
Q103,43.463007000000005mm,60.898407mm,Top,270.0
Q102,41.429207000000005mm,60.853707mm,Bottom,180.0
Q101,44.570007000000004mm,98.875007mm,Bottom,180.0
Q100,45.630007000000006mm,95.525007mm,Bottom,0.0
L100,43.725007000000005mm,92.125007mm,Bottom,90.0
F100,35.575007mm,60.225007mm,Bottom,0.0
C120,29.225007mm,86.22500699999999mm,Bottom,0.0
C107,29.125007mm,84.921407mm,Bottom,180.0
C106,30.106707mm,80.627607mm,Bottom,0.0
U110,38.925007mm,93.22500699999999mm,Bottom,270.0
R145,41.825007mm,90.625007mm,Bottom,90.0
R144,40.825007mm,91.925007mm,Bottom,270.0
R143,24.056207mm,99.228207mm,Bottom,180.0
R107,41.825007mm,86.900007mm,Top,180.0
D108,44.175006999999994mm,91.750007mm,Top,0.0
C233,15.825007mm,65.724907mm,Bottom,180.0
U107,44.325007mm,88.22500699999999mm,Top,0.0
U106,47.325007mm,61.024907mm,Bottom,90.0
C134,44.125007mm,90.425007mm,Top,0.0
C126,46.925006999999994mm,62.924907mm,Bottom,180.0
VD103,29.450007mm,61.024907mm,Bottom,0.0
VD102,25.666707000000002mm,60.824906999999996mm,Bottom,0.0
VD101,21.883307000000002mm,60.824906999999996mm,Bottom,0.0
VD100,18.100006999999998mm,60.824906999999996mm,Bottom,0.0
U109,17.725006999999998mm,60.725007mm,Top,0.0
U108,21.625007mm,60.725007mm,Top,0.0
U103,30.750007mm,94.244907mm,Bottom,180.0
U100,37.825507mm,96.524907mm,Top,0.0
U285,18.925007mm,91.825007mm,Top,270.0
U280,18.925007mm,88.72500699999999mm,Top,90.0
U275,18.925007mm,98.125007mm,Top,270.0
U270,18.925007mm,95.025007mm,Top,90.0
U195,23.175007mm,89.325007mm,Top,0.0
U190,21.275007000000002mm,71.325007mm,Top,90.0
U185,23.175007mm,96.425007mm,Top,0.0
U180,21.275007000000002mm,77.125007mm,Top,90.0
U175,21.275007000000002mm,82.925007mm,Top,90.0
U170,21.275007000000002mm,65.52500699999999mm,Top,90.0
S101,38.925007mm,60.325007mm,Top,0.0
S100,33.125007mm,60.325007mm,Top,180.0
R140,14.425007mm,61.62490699999999mm,Bottom,270.0
R111,27.975007mm,99.125007mm,Bottom,90.0
R112,29.025007mm,99.125007mm,Bottom,90.0
R117,34.275007mm,99.125007mm,Bottom,90.0
R115,32.175007mm,99.125007mm,Bottom,90.0
R116,33.225007000000005mm,99.125007mm,Bottom,90.0
R114,31.125007mm,99.125007mm,Bottom,90.0
R113,30.075007mm,99.125007mm,Bottom,90.0
R110,26.925007mm,99.125007mm,Bottom,90.0
R120,37.025007mm,62.725007mm,Bottom,0.0
R100,37.825007mm,99.42490699999999mm,Bottom,0.0
R258,13.825007mm,64.224907mm,Bottom,180.0
R255,12.525007mm,99.425007mm,Bottom,180.0
R256,15.825007mm,64.224907mm,Bottom,0.0
R254,14.475007mm,99.425007mm,Top,180.0
R257,12.975007mm,67.52500699999999mm,Bottom,270.0
R245,12.975007mm,72.324907mm,Bottom,270.0
R236,12.975007mm,77.124907mm,Bottom,270.0
R227,12.975007mm,81.925007mm,Bottom,270.0
R209,12.975007mm,91.525007mm,Bottom,270.0
R200,12.975007mm,96.324907mm,Bottom,270.0
R197,24.625007mm,89.324907mm,Bottom,90.0
R196,21.725006999999998mm,89.325007mm,Bottom,270.0
R195,21.225006999999998mm,86.474907mm,Bottom,180.0
R191,21.275007000000002mm,72.774907mm,Bottom,180.0
R190,21.275007000000002mm,69.874907mm,Bottom,0.0
R186,24.625007mm,96.425007mm,Bottom,90.0
R185,21.725006999999998mm,96.425007mm,Bottom,270.0
R181,21.275007000000002mm,78.574907mm,Bottom,180.0
R180,21.275007000000002mm,75.67490699999999mm,Bottom,0.0
R176,21.275007000000002mm,84.374907mm,Bottom,180.0
R175,21.275007000000002mm,81.474907mm,Bottom,0.0
R171,21.275007000000002mm,66.974907mm,Bottom,180.0
R170,21.275007000000002mm,64.075007mm,Bottom,0.0
R139,11.925007mm,59.825007mm,Top,180.0
R138,11.925007mm,61.025006999999995mm,Top,180.0
R137,11.925007mm,62.225007mm,Top,180.0
R136,11.925007mm,63.425006999999994mm,Top,180.0
R135,12.925007mm,59.825007mm,Top,0.0
R132,12.925007mm,61.025006999999995mm,Top,0.0
R126,12.925007mm,62.225007mm,Top,0.0
R124,12.925007mm,63.425006999999994mm,Top,0.0
R119,28.825007mm,98.72500699999999mm,Top,0.0
R118,32.925007mm,98.72500699999999mm,Top,0.0
R266,11.925007mm,65.725007mm,Top,180.0
R265,11.925007mm,66.925007mm,Top,180.0
R264,11.925007mm,68.125007mm,Top,180.0
R263,11.925007mm,69.325007mm,Top,180.0
R262,12.925007mm,65.725007mm,Top,0.0
R261,12.925007mm,66.925007mm,Top,0.0
R260,12.925007mm,68.125007mm,Top,0.0
R259,12.925007mm,69.325007mm,Top,0.0
R253,11.925007mm,70.52500699999999mm,Top,0.0
R252,11.925007mm,71.725007mm,Top,0.0
R251,11.925007mm,72.925007mm,Top,0.0
R250,11.925007mm,74.125007mm,Top,0.0
R249,12.925007mm,70.52500699999999mm,Top,180.0
R248,12.925007mm,71.725007mm,Top,180.0
R247,12.925007mm,72.925007mm,Top,180.0
R246,12.925007mm,74.125007mm,Top,180.0
R244,11.925007mm,75.325007mm,Top,180.0
R243,11.925007mm,76.52500699999999mm,Top,180.0
R242,11.925007mm,77.725007mm,Top,180.0
R241,11.925007mm,78.925007mm,Top,180.0
R240,12.925007mm,75.325007mm,Top,0.0
R239,12.925007mm,76.52500699999999mm,Top,0.0
R238,12.925007mm,77.725007mm,Top,0.0
R237,12.925007mm,78.925007mm,Top,0.0
R235,11.925007mm,80.125007mm,Top,0.0
R234,11.925007mm,81.325007mm,Top,0.0
R233,11.925007mm,82.52500699999999mm,Top,0.0
R232,11.925007mm,83.725007mm,Top,0.0
R231,12.925007mm,80.125007mm,Top,180.0
R230,12.925007mm,81.325007mm,Top,180.0
R229,12.925007mm,82.52500699999999mm,Top,180.0
R228,12.925007mm,83.725007mm,Top,180.0
R226,11.925007mm,84.925007mm,Top,180.0
R225,11.925007mm,86.125007mm,Top,180.0
R224,11.925007mm,87.325007mm,Top,180.0
R223,11.925007mm,88.525007mm,Top,180.0
R222,12.925007mm,84.925007mm,Top,0.0
R221,12.925007mm,86.125007mm,Top,0.0
R220,12.925007mm,87.325007mm,Top,0.0
R219,12.925007mm,88.525007mm,Top,0.0
R218,12.975007mm,86.72500699999999mm,Bottom,270.0
R217,11.925007mm,89.72500699999999mm,Top,180.0
R216,11.925007mm,90.925007mm,Top,180.0
R215,11.925007mm,92.125007mm,Top,180.0
R214,11.925007mm,93.325007mm,Top,180.0
R213,12.925007mm,89.695007mm,Top,0.0
R212,12.925007mm,90.925007mm,Top,0.0
R211,12.925007mm,92.125007mm,Top,0.0
R210,12.925007mm,93.325007mm,Top,0.0
R208,11.925007mm,94.525007mm,Top,180.0
R207,11.925007mm,95.72500699999999mm,Top,180.0
R206,11.925007mm,96.925007mm,Top,180.0
R205,11.925007mm,98.125007mm,Top,180.0
R204,12.925007mm,94.525007mm,Top,0.0
R203,12.925007mm,95.72500699999999mm,Top,0.0
R202,12.925007mm,96.925007mm,Top,0.0
R201,12.925007mm,98.125007mm,Top,0.0
R142,17.325007mm,88.224907mm,Bottom,270.0
P106,25.725006999999998mm,76.725007mm,Top,180.0
P105,25.925007mm,85.425007mm,Top,180.0
P104,25.625007mm,81.125007mm,Top,180.0
P201,11.425007mm,64.455007mm,Top,0.0
P200,10.925007mm,99.425007mm,Top,0.0
P103,25.625007mm,71.925007mm,Top,90.0
P102,25.625007mm,69.02500699999999mm,Top,90.0
P101,25.625007mm,66.02500699999999mm,Top,90.0
P100,26.825007mm,64.725007mm,Top,90.0
J100,38.478007000000005mm,72.749907mm,Bottom,270.0
D100,36.790507000000005mm,96.49980699999999mm,Bottom,90.0
D205,26.575007mm,60.825007mm,Top,0.0
D207,15.725007mm,67.52500699999999mm,Top,90.0
D206,15.725007mm,72.325007mm,Top,90.0
D204,15.725007mm,77.125007mm,Top,90.0
D203,15.725007mm,81.925007mm,Top,90.0
D201,15.725007mm,91.525007mm,Top,90.0
D200,15.725007mm,96.325007mm,Top,90.0
D116,28.525007mm,90.175007mm,Top,90.0
D115,28.525007mm,94.375007mm,Top,90.0
D114,30.325007mm,90.175007mm,Top,90.0
D113,30.325007mm,94.375007mm,Top,90.0
D112,32.125007mm,90.175007mm,Top,90.0
D111,32.125007mm,94.375007mm,Top,90.0
D110,33.925007mm,90.175007mm,Top,90.0
D109,33.925007mm,94.375007mm,Top,90.0
D202,15.725007mm,86.72500699999999mm,Top,90.0
C143,14.825007mm,63.425006999999994mm,Top,180.0
C144,14.825007mm,62.225007mm,Top,0.0
C145,14.825007mm,61.025006999999995mm,Top,180.0
C146,14.825007mm,59.825007mm,Top,180.0
C112,26.825007mm,90.025007mm,Top,270.0
C111,26.925007mm,96.525007mm,Top,0.0
C123,40.025007mm,81.124907mm,Bottom,0.0
C117,34.075007mm,62.975007mm,Bottom,180.0
C105,39.725007000000005mm,96.625007mm,Bottom,90.0
C100,39.725007000000005mm,99.125007mm,Bottom,270.0
C285,18.925007mm,91.941907mm,Bottom,270.0
C280,18.925007mm,88.608007mm,Bottom,90.0
C275,18.925007mm,98.242007mm,Bottom,270.0
C270,18.925007mm,94.908007mm,Bottom,90.0
C229,11.925007mm,64.624907mm,Bottom,180.0
C224,12.525007mm,99.425007mm,Top,0.0
C223,16.775007000000002mm,99.425007mm,Top,0.0
C222,14.475007mm,99.425007mm,Bottom,0.0
C221,13.825007mm,64.52500699999999mm,Top,0.0
C220,18.025007000000002mm,81.92490699999999mm,Bottom,90.0
C230,15.825007mm,69.325007mm,Bottom,180.0
C231,15.825007mm,68.124907mm,Bottom,180.0
C232,15.825007mm,66.925007mm,Bottom,180.0
C225,15.825007mm,74.124907mm,Bottom,180.0
C226,15.825007mm,72.925007mm,Bottom,180.0
C227,15.825007mm,71.724907mm,Bottom,180.0
C228,15.825007mm,70.52500699999999mm,Bottom,180.0
C216,15.825007mm,78.925007mm,Bottom,180.0
C217,15.825007mm,77.724907mm,Bottom,180.0
C218,15.825007mm,76.52500699999999mm,Bottom,180.0
C219,15.825007mm,75.324907mm,Bottom,180.0
C212,15.825007mm,83.724907mm,Bottom,180.0
C213,15.825007mm,82.52500699999999mm,Bottom,180.0
C214,15.825007mm,81.324907mm,Bottom,180.0
C215,15.825007mm,80.125007mm,Bottom,180.0
C204,15.825007mm,93.325007mm,Bottom,180.0
C205,15.825007mm,92.124907mm,Bottom,180.0
C206,15.825007mm,90.925007mm,Bottom,180.0
C207,15.825007mm,89.724907mm,Bottom,180.0
C200,15.825007mm,98.124907mm,Bottom,180.0
C201,15.825007mm,96.925007mm,Bottom,180.0
C202,15.825007mm,95.724907mm,Bottom,180.0
C203,15.825007mm,94.525007mm,Bottom,180.0
C195,23.825007mm,86.474907mm,Bottom,180.0
C190,24.125007mm,71.975007mm,Bottom,270.0
C185,23.825007mm,93.575007mm,Bottom,180.0
C180,24.125007mm,77.77500699999999mm,Bottom,270.0
C175,24.125007mm,83.574907mm,Bottom,270.0
C170,24.125007mm,66.17490699999999mm,Bottom,270.0
C142,11.925007mm,59.825007mm,Bottom,180.0
C141,11.925007mm,61.025006999999995mm,Bottom,180.0
C139,11.925007mm,62.224906999999995mm,Bottom,0.0
C135,11.925007mm,63.425006999999994mm,Bottom,180.0
